name,default_code,description,list_price
Ordinateur Portable HP,ORD-HP-001,HP ProBook 450 G9 - Intel Core i5 - 8GB RAM - 256GB SSD,8500.00
Imprimante Canon,IMP-CAN-001,Canon PIXMA G3420 - Multifonction - WiFi,2800.00
Écran Dell 24 pouces,ECR-DEL-001,Dell P2422H - Full HD - IPS - HDMI,1950.00
Clavier Logitech,CLV-LOG-001,Logitech MX Keys - Sans fil - Rétroéclairé,1200.00
Souris Microsoft,SOU-MIC-001,Microsoft Surface Mouse - Bluetooth,450.00
Disque dur externe 1TB,DSQ-SEA-001,Seagate Backup Plus - USB 3.0 - 1TB,650.00
Casque audio Sony,CAS-SON-001,Sony WH-1000XM4 - Réduction de bruit,3200.00
Webcam Logitech,WEB-LOG-001,Logitech C920 HD Pro - 1080p,850.00
Routeur TP-Link,ROU-TPL-001,TP-Link Archer AX73 - WiFi 6 - Gigabit,1500.00
Switch Netgear,SWI-NET-001,Netgear GS108 - 8 ports Gigabit,800.00
Onduleur APC,OND-APC-001,APC Back-UPS 650VA - Protection surtension,950.00
Tablette Samsung,TAB-SAM-001,Samsung Galaxy Tab S8 - 11 pouces - 128GB,5500.00
Smartphone Xiaomi,TEL-XIA-001,Xiaomi Redmi Note 12 Pro - 256GB,3800.00
Projecteur Epson,PRO-EPS-001,Epson EB-X06 - 3600 lumens - XGA,4200.00
Scanner HP,SCA-HP-001,HP ScanJet Pro 2500 f1 - Recto-verso,2100.00
Câble HDMI 2m,CAB-HDM-001,Câble HDMI 2.0 - 4K - 2 mètres,85.00
Hub USB-C,HUB-USB-001,Hub USB-C 7 ports - USB 3.0,380.00
Carte mémoire 64GB,MEM-SAN-001,SanDisk Ultra 64GB - Classe 10,180.00
Batterie externe 20000mAh,BAT-ANK-001,Anker PowerCore 20000 - Charge rapide,550.00
Housse laptop 15,HOU-THA-001,Thule Subterra - 15.6 pouces - Protection,420.00
